# City centres used to snap a user's location to their city. Columns: name, lat, lng, population.
# Source: GeoNames cities15000 (https://www.geonames.org), licensed CC BY 4.0.
# Rows with feature code PPLX (a section of a populated place, i.e. suburbs) are removed.
Londuimbali	-12.2371	15.3170	17000
Lobito	-12.3644	13.5360	393079
Cuíto	-12.3833	16.9333	355423
Catchiungo	-12.5660	16.2259	120677
Humbe	-16.6864	14.9032	35985
Huambo	-12.7761	15.7392	595304
Ganda	-13.0159	14.6350	65000
Gabela	-10.8515	14.3799	116903
Ecunna	-12.6789	15.5056	82541
Dombe Grande	-12.9517	13.1025	25000
Cuemba	-12.1500	18.0833	19995
Cubal do Lumbo	-12.3126	14.1265	18451
Cubal	-13.0387	14.2455	90367
Conda	-11.1086	14.3362	21260
Chitembo	-13.5500	16.6333	25000
Chinguar	-12.5571	16.3380	26811
Chindumbo	-11.9500	14.4667	32013
Cela	-11.4217	15.1235	90000
Catumbela	-12.4300	13.5468	95034
Catabola	-12.1500	17.2833	28831
Capunda	-11.1333	14.4667	21260
Camucuio	-14.1138	13.2406	66112
Cambundi Catembo	-10.0753	17.5506	17212
Camacupa	-12.0167	17.4833	59000
Caluquembe	-13.8667	14.4333	31000
Calulo	-10.0006	14.8952	44000
Cahama	-16.2856	14.3096	70061
Caála	-12.8525	15.5606	130000
Bocoio	-12.4702	14.1369	164685
Benguela	-12.5767	13.4027	555124
Balombo	-12.3543	14.7723	108965
Baía Farta	-12.6042	13.1967	107841
Andulo	-11.4868	16.6966	50000
Cambundi	-7.4686	17.0377	17212
Kikolo	-8.7815	13.3338	728205
Cafunfo	-8.7672	17.9957	90000
Santa Clara	-10.1916	15.4341	29000
Quissecula	-11.3922	15.0920	90000
Cambundi	-10.8948	17.7640	17212
Mulenvos	-8.8669	13.3344	882014
Kilamba	-8.8486	13.2750	237528
Ingombota	-8.8181	13.2289	144911
Nova Vida	-8.9055	13.2221	464985
Zango	-9.0121	13.3844	198538
Vila Flor	-8.9801	13.3078	256066
Rangel	-8.8264	13.2629	190569
Samba	-8.8800	13.1962	364986
Sambizanga	-8.7888	13.2751	177808
Navegantes	-12.5900	13.3912	240075
Kima Kieza	-8.8341	13.2952	428855
Panguíla	-8.6934	13.4491	158068
Ramiros	-9.0626	13.0456	323576
Hoji ya Henda	-8.8052	13.2897	642050
Zárate	-34.0958	-59.0242	99061
Colonia Wanda	-25.9734	-54.5630	15529
Villa Ocampo	-28.4873	-59.3542	19101
Villaguay	-31.8677	-59.0270	32027
Villa Gesell	-37.2639	-56.9730	23257
Villa de Mayo	-34.5108	-58.6806	43405
Valentín Alsina	-34.6714	-58.4090	41155
Tristán Suárez	-34.8898	-58.5676	27746
Tortuguitas	-34.4751	-58.7537	41390
Tigre	-34.4260	-58.5796	31106
Tandil	-37.3287	-59.1369	115877
Sarandí	-34.6816	-58.3464	60752
San Vicente	-35.0249	-58.4241	90021
San Vicente	-26.6167	-54.1333	38247
Santo Tomé	-28.5510	-56.0412	22634
Santos Lugares	-34.6031	-58.5407	37267
Santa Teresita	-36.5406	-56.6929	15213
Santa Elena	-30.9443	-59.7883	18410
Santa Clara del Mar	-37.8344	-57.5075	16629
San Pedro	-33.6792	-59.6663	47452
San Pedro	-26.6218	-54.1090	23736
San Miguel del Monte	-35.4392	-58.8074	21794
San Luis del Palmar	-27.5077	-58.5562	15347
San Lorenzo	-28.1344	-58.7668	47626
San Justo	-34.6811	-58.5638	105274
San Javier	-30.5807	-59.9296	15606
San Isidro	-34.4697	-58.5211	45190
San Antonio de Padua	-34.6627	-58.6982	37745
San Antonio de Areco	-34.2508	-59.4694	22909
Saladillo	-35.6388	-59.7794	30378
Saladas	-28.2550	-58.6239	18349
Resistencia	-27.4636	-58.9866	290793
Remedios de Escalada de San Martín	-34.7259	-58.3966	81465
Reconquista	-29.1500	-59.6500	90184
Quilmes	-34.7206	-58.2545	262379
Puerto Rico	-26.8089	-55.0215	17491
Puerto Iguazú	-25.5991	-54.5735	32038
Puerto Esperanza	-26.0227	-54.6136	15579
Posadas	-27.3918	-55.9238	305874
Pontevedra	-34.7495	-58.7016	33515
Pirané	-25.7327	-59.1099	19124
Pinamar	-37.1111	-56.8652	39218
Pilar	-34.4587	-58.9140	81120
Paso de los Libres	-29.7125	-57.0877	43805
Oberá	-27.4868	-55.1199	56528
Nogoyá	-32.3937	-59.7895	43195
Necochea	-38.5545	-58.7396	73557
Navarro	-35.0059	-59.2783	16649
Muñiz	-34.5562	-58.7074	26844
Morón	-34.6512	-58.6221	99066
Monte Chingolo	-34.7296	-58.3542	85060
Monte Caseros	-30.2518	-57.6354	24671
Montecarlo	-26.5685	-54.7579	22229
Miramar	-38.2716	-57.8389	34380
Merlo	-34.6654	-58.7274	268961
Mercedes	-34.6507	-59.4314	63284
Mercedes	-29.1842	-58.0752	30649
Haedo	-34.6424	-58.5921	37745
Mar del Tuyú	-36.5743	-56.6939	83016
Mar del Plata	-38.0004	-57.5562	593337
Mar de Ajó	-36.7288	-56.6827	25520
Magdalena	-35.0800	-57.5137	15338
Luján	-34.5664	-59.1148	97363
Los Polvorines	-34.5032	-58.7060	53354
Lomas de Zamora	-34.7574	-58.4028	111897
Lobos	-35.1854	-59.0979	35719
Leandro N. Alem	-27.6038	-55.3237	27287
Las Flores	-36.0143	-59.0999	25075
La Plata	-34.9213	-57.9544	195443
La Paz	-30.7418	-59.6452	24716
Lanús	-34.7076	-58.3913	212252
Laferrere	-34.7505	-58.5846	248362
Jardín América	-27.0435	-55.2270	24905
Ituzaingó	-27.5850	-56.6871	168419
Isidro Casanova	-34.7000	-58.5874	131981
Hurlingham	-34.5904	-58.6290	60000
Gualeguaychú	-33.0078	-58.5184	78676
Gualeguay	-33.1409	-59.3126	33120
Goya	-29.1399	-59.2634	70245
Gobernador Virasora	-28.0500	-56.0333	28756
General Pacheco	-34.4526	-58.6431	43287
General Juan Madariaga	-37.0020	-57.1358	21461
General José de San Martín	-26.5364	-59.3414	31758
General Belgrano	-35.7684	-58.4944	19056
Garupá	-27.4831	-55.8292	28814
Formosa	-26.1849	-58.1731	222226
Fontana	-27.4204	-59.0373	26745
Federal	-30.9562	-58.7797	16333
Ezeiza	-34.8544	-58.5247	115021
Esquina	-30.0148	-59.5289	26399
Ensenada	-34.8607	-57.9124	63978
El Soberbio	-27.2966	-54.1981	19571
El Palomar	-34.6177	-58.6015	59031
Eldorado	-26.4045	-54.6185	54189
Don Torcuato	-34.4946	-58.6273	71356
Dolores	-36.3154	-57.6755	30372
Curuzú Cuatiá	-29.7915	-58.0499	36390
Corrientes	-27.4678	-58.8344	346334
Concordia	-31.3920	-58.0171	145210
Concepción del Uruguay	-32.4846	-58.2322	67895
Colón	-32.2231	-58.1443	58219
Chascomús	-35.5768	-58.0121	39947
Chajarí	-30.7548	-57.9820	30655
Castelar	-34.6514	-58.6407	107786
Carmen de Areco	-34.3766	-59.8227	15900
Cañuelas	-35.0538	-58.7621	41801
Campana	-34.1633	-58.9592	86860
Burzaco	-34.8258	-58.3950	98859
Buenos Aires	-34.6131	-58.3772	2891082
Coronel Brandsen	-35.1680	-58.2374	24487
Berisso	-34.8715	-57.8833	88470
Berazategui	-34.7653	-58.2128	180523
Benito Juárez	-37.6719	-59.8065	15777
Bella Vista	-34.5651	-58.6903	79737
Barranqueras	-27.4813	-58.9393	50823
Baradero	-33.8120	-59.5047	35389
Banfield	-34.7456	-58.3937	61072
Balcarce	-37.8464	-58.2555	44409
Azul	-36.7780	-59.8585	64884
Ayacucho	-37.1528	-58.4884	18916
Avellaneda	-29.1176	-59.6583	23341
Apóstoles	-27.9142	-55.7535	30278
Zapala	-38.9006	-70.0667	31534
Yerba Buena	-26.8130	-65.2954	50783
Villa Regina	-39.0963	-67.0837	31209
Villa Paula de Sarmiento	-31.4933	-68.5384	19092
Villa Nueva	-32.4329	-63.2481	25961
Villa María	-32.4075	-63.2402	92453
Villa Dolores	-31.9450	-65.1903	28009
Villa del Rosario	-31.5542	-63.5356	17496
Villa Constitución	-33.2279	-60.3299	44271
Villa Carlos Paz	-31.4183	-64.4901	69451
Villa Ángela	-27.5768	-60.7111	43511
Viedma	-40.8152	-63.0004	48940
Victoria	-32.6184	-60.1548	25139
Vera	-29.4599	-60.2131	19797
Venado Tuerto	-33.7458	-61.9671	72340
Veinticinco de Mayo	-35.4325	-60.1716	23814
Ushuaia	-54.8108	-68.3159	56825
Unquillo	-31.2372	-64.3118	15369
Tupungato	-33.3693	-69.1478	16893
Tunuyán	-33.5812	-69.0154	38367
Tres Isletas	-26.3407	-60.4321	24747
Tres Arroyos	-38.3769	-60.2756	52199
Trenque Lauquen	-35.9733	-62.7328	39975
Trelew	-43.2490	-65.3050	97915
Tostado	-29.2327	-61.7687	16448
Toay	-36.6739	-64.3798	17151
Termas de Río Hondo	-27.4936	-64.8597	27838
Tartagal	-22.5168	-63.8056	60819
Tafí Viejo	-26.7333	-65.2615	48459
Sunchales	-30.9448	-61.5597	18757
Santo Tomé	-31.6627	-60.7653	59072
Santiago del Estero	-27.8005	-64.2629	252192
Santa Rosa	-36.6162	-64.2899	102860
Santa Rosa	-23.3943	-64.4251	17785
Santa María	-26.6946	-66.0481	16545
Santa Lucía	-31.5405	-68.4979	62697
Santa Fe	-31.6488	-60.7087	391164
San Salvador de Jujuy	-24.1928	-65.2934	257970
San Ramón de la Nueva Orán	-23.1370	-64.3243	86867
San Rafael	-34.6153	-68.3324	118009
San Pedro de Jujuy	-24.2313	-64.8661	58430
San Nicolás de los Arroyos	-33.3342	-60.2108	134217
San Miguel de Tucumán	-26.8160	-65.2105	548866
San Martín de los Andes	-40.1579	-71.3534	23519
San Martín	-33.0834	-68.4731	82549
Villa General San Martín	-31.4396	-68.5205	29789
San Luis	-33.2914	-66.3247	169947
San Lorenzo	-24.7362	-65.4873	31589
San Justo	-30.7899	-60.5928	21809
San Juan	-31.5373	-68.5257	109123
San Jorge	-31.8971	-61.8599	16873
San Isidro	-28.4578	-65.7250	31972
San Francisco	-31.4250	-62.0840	59062
Catamarca	-28.4696	-65.7852	159139
San Carlos de Bolívar	-36.2307	-61.1157	31618
San Antonio Oeste	-40.7319	-64.9477	16966
Salto	-34.2918	-60.2545	34034
Salta	-24.8065	-65.4200	520683
Rufino	-34.2624	-62.7113	18361
Rosario de Lerma	-24.9858	-65.5784	26086
Rosario de la Frontera	-25.7986	-64.9739	29336
Rosario	-32.9468	-60.6393	948312
Rojas	-34.1977	-60.7337	22106
Rodeo del Medio	-32.9949	-68.6860	18574
Rivadavia	-33.1910	-68.4622	34830
Río Tercero	-32.1767	-64.1129	53389
Río Segundo	-31.6501	-63.9117	22171
Río Grande	-53.7877	-67.7097	52681
Río Gallegos	-51.6253	-69.2523	95796
Río Cuarto	-33.1304	-64.3527	157010
Río Colorado	-38.9908	-64.0957	16132
Rawson	-43.3003	-65.1056	26335
Ramallo	-33.4851	-60.0063	29964
Rafaela	-31.2528	-61.4908	88713
Quitilipi	-26.8708	-60.2154	32083
Punta Alta	-38.8805	-62.0750	64244
Puerto Madryn	-42.7685	-65.0383	64555
Puerto Deseado	-47.7513	-65.8967	16747
